                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.5777,                  1.568,                 1.7286,                 1.5407,                   1.99,                 1.6319,                0.50765,                 0.6075,                0.57645,                0.37194,                 1.4251,                 1.3925,                 1.5951,                 1.2918,                 1.7838,                 1.4506,              0.0013972,              0.0013972,              0.0013972
                     48,                 1.5837,                  1.547,                 1.7225,                  1.551,                 1.9904,                 1.6254,                0.48885,                0.55242,                0.53833,                0.34164,                 1.4126,                 1.3897,                  1.595,                 1.3624,                 1.7874,                 1.4843,              0.0013965,              0.0013965,              0.0013965
                     49,                 1.5649,                 1.4909,                 1.6711,                 1.5357,                 1.8811,                 1.5767,                0.35333,                0.53884,                0.40126,                 0.2148,                 1.7474,                 1.7183,                 1.8224,                 1.6107,                 2.2479,                 1.7132,              0.0013958,              0.0013958,              0.0013958
                     50,                 1.5107,                 1.4593,                 1.6483,                 1.4801,                 1.8475,                 1.5727,                0.52434,                 0.6453,                0.57234,                0.34257,                 1.4571,                 1.3503,                 1.6612,                 1.4177,                  1.686,                  1.577,               0.001395,               0.001395,               0.001395
                     51,                 1.5535,                 1.4762,                 1.6775,                 1.5553,                 1.8469,                 1.5996,                0.58042,                0.55979,                0.61084,                  0.382,                   1.35,                 1.3166,                 1.5118,                 1.3717,                 1.5886,                 1.4879,              0.0013943,              0.0013943,              0.0013943
                     52,                 1.5129,                 1.4297,                 1.6009,                 1.5362,                  1.772,                 1.5437,                0.57747,                0.53266,                0.61211,                0.38759,                 1.3714,                  1.259,                 1.5041,                 1.3229,                  1.621,                 1.4268,              0.0013936,              0.0013936,              0.0013936
                     53,                 1.4928,                  1.412,                 1.6175,                 1.4938,                 1.7528,                 1.5607,                0.59444,                0.56429,                0.60895,                0.39932,                 1.3057,                 1.3406,                 1.5588,                 1.2654,                 1.5889,                  1.469,              0.0013929,              0.0013929,              0.0013929
                     54,                 1.4796,                 1.4732,                 1.6311,                 1.4527,                 1.8087,                 1.5502,                0.61119,                0.61854,                0.66217,                0.44494,                  1.189,                 1.1714,                 1.4386,                  1.206,                 1.4248,                 1.3813,              0.0013922,              0.0013922,              0.0013922
                     55,                  1.453,                  1.405,                 1.6231,                 1.4568,                 1.7461,                  1.552,                0.56656,                0.64393,                0.64713,                0.42611,                 1.2536,                 1.1966,                 1.4934,                 1.2449,                 1.4503,                 1.4216,              0.0013915,              0.0013915,              0.0013915
                     56,                 1.4423,                 1.3763,                 1.5648,                 1.4557,                 1.7061,                 1.4991,                0.59571,                0.61393,                0.65915,                0.44375,                 1.2803,                 1.2093,                 1.5197,                 1.2517,                 1.4085,                 1.4371,              0.0013908,              0.0013908,              0.0013908
                     57,                 1.4071,                 1.3741,                 1.5526,                 1.4048,                 1.6625,                 1.5015,                 0.6389,                0.60526,                0.64972,                0.44403,                 1.1578,                  1.247,                 1.4165,                  1.184,                 1.4607,                 1.4057,              0.0013901,              0.0013901,              0.0013901
                     58,                 1.4236,                 1.3624,                  1.601,                 1.4312,                 1.6742,                 1.5533,                0.65452,                0.54205,                0.66288,                0.42953,                 1.2285,                 1.2528,                 1.4238,                 1.2604,                 1.5015,                 1.3976,              0.0013894,              0.0013894,              0.0013894
                     59,                   1.36,                 1.3064,                 1.5415,                 1.3922,                 1.6301,                 1.5073,                0.66117,                0.54151,                0.63692,                0.42912,                 1.2695,                 1.2115,                 1.4931,                 1.2111,                 1.4378,                 1.4646,              0.0013887,              0.0013887,              0.0013887
                     60,                 1.4457,                 1.3288,                 1.5412,                 1.4298,                 1.6234,                 1.4809,                0.66574,                0.58907,                0.66938,                0.45185,                 1.2092,                 1.1562,                 1.4137,                 1.2093,                 1.3839,                 1.3713,               0.001388,               0.001388,               0.001388
                     61,                 1.3849,                 1.3018,                 1.5335,                 1.3796,                 1.5803,                 1.4934,                0.59509,                0.63348,                0.67605,                0.45238,                 1.2809,                 1.1578,                 1.4658,                 1.2887,                 1.4155,                 1.4345,              0.0013873,              0.0013873,              0.0013873
                     62,                 1.3944,                 1.2693,                 1.5235,                 1.4369,                 1.5514,                 1.4817,                0.62977,                0.62401,                0.64972,                 0.4291,                 1.3874,                 1.2137,                 1.5281,                 1.3607,                  1.451,                  1.457,              0.0013866,              0.0013866,              0.0013866
                     63,                 1.4086,                 1.2948,                 1.5236,                 1.4505,                 1.5638,                  1.493,                0.64197,                0.61984,                0.67978,                0.44699,                 1.2319,                 1.1594,                 1.4327,                 1.2739,                 1.4106,                 1.4126,              0.0013859,              0.0013859,              0.0013859
                     64,                 1.3438,                 1.2725,                 1.5092,                 1.3646,                 1.5286,                  1.469,                0.73986,                0.56364,                0.68899,                0.46409,                 1.1869,                 1.0961,                  1.411,                 1.2133,                 1.3033,                 1.4047,              0.0013851,              0.0013851,              0.0013851
                     65,                 1.3152,                 1.2327,                 1.4903,                 1.3292,                 1.4825,                 1.4457,                0.77987,                0.57051,                0.68966,                0.45508,                 1.2563,                 1.1602,                  1.441,                 1.2591,                 1.4123,                 1.4064,              0.0013844,              0.0013844,              0.0013844
                     66,                 1.3287,                 1.2076,                  1.486,                 1.3712,                 1.4398,                 1.4419,                0.67542,                0.63607,                0.70213,                0.46306,                 1.2044,                 1.1298,                  1.431,                 1.2381,                 1.3675,                 1.4326,              0.0013837,              0.0013837,              0.0013837
                     67,                 1.3073,                  1.203,                  1.501,                 1.3493,                 1.4733,                 1.4688,                0.74012,                0.55107,                0.66734,                0.46275,                 1.2001,                 1.1287,                 1.3971,                 1.1804,                 1.3308,                 1.3941,               0.001383,               0.001383,               0.001383
                     68,                 1.3407,                 1.2495,                 1.5115,                 1.3841,                 1.5074,                 1.4874,                0.69521,                0.54019,                0.65273,                0.45956,                 1.1411,                 1.1698,                 1.3417,                 1.2149,                 1.4079,                 1.3408,              0.0013823,              0.0013823,              0.0013823
                     69,                 1.2668,                 1.1835,                 1.4582,                 1.3051,                 1.4137,                 1.4361,                0.67509,                0.62415,                0.71387,                0.49934,                 1.1759,                  1.097,                 1.3439,                 1.2057,                 1.3112,                 1.3415,              0.0013816,              0.0013816,              0.0013816
                     70,                 1.2919,                 1.1578,                 1.4417,                 1.3194,                 1.3919,                 1.4089,                0.72013,                0.59062,                0.70817,                0.45572,                 1.2285,                 1.0548,                 1.3929,                 1.3072,                 1.2649,                  1.382,              0.0013809,              0.0013809,              0.0013809
                     71,                 1.3019,                 1.1816,                  1.444,                 1.3461,                  1.415,                 1.4268,                0.77509,                0.53903,                0.67547,                0.45732,                 1.2361,                 1.1407,                 1.4323,                 1.2475,                 1.3158,                 1.3991,              0.0013802,              0.0013802,              0.0013802
                     72,                 1.2709,                 1.1728,                 1.4286,                 1.2973,                 1.3979,                 1.4062,                0.68386,                0.54822,                0.69635,                 0.4807,                 1.1676,                 1.1023,                 1.3529,                 1.1755,                 1.3089,                  1.343,              0.0013795,              0.0013795,              0.0013795
                     73,                 1.3374,                 1.2243,                  1.467,                 1.3868,                 1.4407,                 1.4469,                 0.6519,                0.65046,                 0.6836,                0.46373,                 1.1772,                 1.0751,                 1.3436,                 1.2295,                 1.2625,                 1.3419,              0.0013788,              0.0013788,              0.0013788
